ID_Cliente,Cancelacion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Suscripcion_Servicio_Telefono,Suscripcion_Multiples_Lineas,Suscripcion_Servicio_Internet,Suscripcion_Seguridad_En_Linea,Suscripcion_Respaldo_En_Linea,Suscripcion_Proteccion_Dispositivo,Suscripcion_Soporte_Técnico,Suscripcion_TV_Streaming,Suscripcion_Películas_Streaming,Tipo_Contrato,Factura_Electronica,Metodo_Pago,Factura_Mensual,Cargos_Totales,Cuentas_diarias
0002-ORFBO,no,Female,0,yes,yes,9,yes,no,DSL,No,yes,no,yes,yes,no,One year,yes,Mailed check,65.6,593.3,2.2
0003-MKNFE,no,Male,0,no,no,9,yes,yes,DSL,No,no,no,no,no,yes,Month-to-month,no,Mailed check,59.9,542.4,2.0
0004-TLHLJ,yes,Male,0,no,no,4,yes,no,Fiber optic,No,no,yes,no,no,no,Month-to-month,yes,Electronic check,73.9,280.85,2.5
0011-IGKFF,yes,Male,1,yes,no,13,yes,no,Fiber optic,No,yes,yes,no,yes,yes,Month-to-month,yes,Electronic check,98.0,1237.85,3.3
0013-EXCHZ,yes,Female,1,yes,no,3,yes,no,Fiber optic,No,no,no,yes,yes,no,Month-to-month,yes,Mailed check,83.9,267.4,2.8
0013-MHZWF,no,Female,0,no,yes,9,yes,no,DSL,No,no,no,yes,yes,yes,Month-to-month,yes,Credit card (automatic),69.4,571.45,2.3
0013-SMEOE,no,Female,1,yes,no,71,yes,no,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),109.7,7904.25,3.7
0014-BMAQU,no,Male,0,yes,no,63,yes,yes,Fiber optic,Yes,no,no,yes,no,no,Two year,yes,Credit card (automatic),84.65,5377.8,2.8
0015-UOCOJ,no,Female,1,no,no,7,yes,no,DSL,Yes,no,no,no,no,no,Month-to-month,yes,Electronic check,48.2,340.35,1.6
0016-QLJIS,no,Female,0,yes,yes,65,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,yes,Mailed check,90.45,5957.9,3.0
0017-DINOC,no,Male,0,no,no,54,no,no,DSL,Yes,no,no,yes,yes,no,Two year,no,Credit card (automatic),45.2,2460.55,1.5
0017-IUDMW,no,Female,0,yes,yes,72,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Credit card (automatic),116.8,8456.75,3.9
0018-NYROU,no,Female,0,yes,no,5,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,68.95,351.5,2.3
0019-EFAEP,no,Female,0,no,no,72,yes,yes,Fiber optic,Yes,yes,yes,no,yes,no,Two year,yes,Bank transfer (automatic),101.3,7261.25,3.4
0019-GFNTW,no,Female,0,no,no,56,no,no,DSL,Yes,yes,yes,yes,no,no,Two year,no,Bank transfer (automatic),45.05,2560.1,1.5
0020-INWCK,no,Female,0,yes,yes,71,yes,yes,Fiber optic,No,yes,yes,no,no,yes,Two year,yes,Credit card (automatic),95.75,6849.4,3.2
0020-JDNXP,no,Female,0,yes,yes,34,no,no,DSL,Yes,no,yes,yes,yes,yes,One year,no,Mailed check,61.25,1993.2,2.0
